DISTRITO,COD_DIST,UGM,TOTAL,HOMBRES,MUJERES,INDICE_VULNERABILIDAD_INTEGRADO,EXPOSICION_NORMALIZACION_BASE_100,AMENAZA_SECA_NORMALIZACION_BASE_100,SUMA_RIESGO_SECO,RIESGO_SECO_NORMALIZACION_BASE_100,CATEGORIA_RIESGO_SECO
Buenos Aires      ,60301,38556,134,60,74,37.32083800339085,34.73684210526316,39.166,111.22368010865401,34.59722978115483,Medio
Buenos Aires      ,60301,38596,91,35,56,40.19415619843454,23.42105263157895,56.355,119.97020883001349,38.97827053731541,Alto-medio
Buenos Aires      ,60301,38604,31,13,18,20.481615535532285,7.631578947368421,39.269,67.3821944829007,12.637508221217,Bajo
Buenos Aires      ,60301,38696,83,39,44,24.61486376279633,21.31578947368421,39.32,85.25065323648053,21.587624152127695,Bajo-medio
Buenos Aires      ,60301,38698,117,53,64,25.456305329772317,30.263157894736842,40.262,95.98146322450916,26.96256973360876,Medio
Buenos Aires      ,60301,38707,94,49,45,36.00222748664746,24.210526315789473,39.925,100.13775380243693,29.044410312475293,Medio
Buenos Aires      ,60301,38727,17,9,8,29.380631670503643,3.9473684210526314,70.968,104.29600009155628,31.127230485728415,Medio
Buenos Aires      ,60301,38738,74,41,33,23.017006869206725,18.947368421052634,39.209,81.17337529025936,19.545360137951654,Bajo-medio
Buenos Aires      ,60301,38864,44,28,16,15.577850155840721,11.052631578947368,39.42,66.0504817347881,11.970467843160241,Bajo
Buenos Aires      ,60301,38920,83,38,45,29.429442400512723,21.31578947368421,37.81,88.55523187419693,23.24285151774742,Bajo-medio
Buenos Aires      ,60301,38948,69,34,35,38.371645232374995,17.63157894736842,42.427,98.43022417974342,28.189127364498074,Medio
Buenos Aires      ,60301,39038,92,46,46,25.028293978152526,23.684210526315788,38.772,87.4845045044683,22.70653586670951,Bajo-medio
Buenos Aires      ,60301,39051,43,17,26,19.433778761853706,10.789473684210527,38.996,69.21925244606423,13.557670500955998,Bajo
Buenos Aires      ,60301,39066,105,60,45,52.21249537317897,27.105263157894736,42.012,121.32975853107371,39.65925414122507,Alto-medio
Buenos Aires      ,60301,39091,40,19,21,28.194136350218457,10.0,43.103,81.29713635021847,19.6073507018633,Bajo-medio
Buenos Aires      ,60301,39118,38,19,19,14.334313838181215,9.473684210526317,40.155,63.96299804870753,10.924870052552658,Bajo
Buenos Aires      ,60301,39135,21,7,14,19.309131941419288,5.0,39.351,63.66013194141929,10.773167725611318,Bajo
Buenos Aires      ,60301,39208,91,40,51,36.15696491731724,23.42105263157895,40.192,99.77001754889619,28.860215237422775,Medio
Buenos Aires      ,60301,39292,23,15,8,34.397603841236716,5.526315789473684,44.965,84.8889196307104,21.40643573781634,Bajo-medio
Buenos Aires      ,60301,39316,55,21,34,20.728366608403576,13.94736842105263,39.256,73.9317350294562,15.918101583760258,Bajo-medio
Buenos Aires      ,60301,39386,25,13,12,25.185747514145678,6.052631578947368,39.783,71.02137909309305,14.460336065766386,Bajo
Buenos Aires      ,60301,39397,40,19,21,34.42395345954933,10.0,67.781,112.20495345954933,35.088738890672566,Medio
Buenos Aires      ,60301,39435,27,19,8,35.25722458418966,6.578947368421052,42.899,84.73517195261071,21.329425204223178,Bajo-medio
Buenos Aires      ,60301,39440,119,70,49,40.299367170762686,30.789473684210527,42.365,113.45384085497321,35.71429295371997,Medio
Buenos Aires      ,60301,39493,45,23,22,14.801368571421456,11.31578947368421,39.503,65.62015804510567,11.754923404572143,Bajo
Buenos Aires      ,60301,39499,21,14,7,24.235255170288365,5.0,38.635,67.87025517028836,12.881972491677057,Bajo
Buenos Aires      ,60301,39556,81,38,43,21.71991700731875,20.789473684210527,40.021,82.53039069152928,20.225074338761715,Bajo-medio
Buenos Aires      ,60301,39583,93,46,47,35.30063933490684,23.94736842105263,40.526,99.77400775595947,28.86221388858219,Medio
Buenos Aires      ,60301,39672,66,31,35,22.683762118377548,16.842105263157894,39.325,78.85086738153544,18.382041279834045,Bajo-medio
Buenos Aires      ,60301,39767,84,45,39,16.47578579004292,21.578947368421055,38.744,76.79873315846397,17.354149649359805,Bajo-medio
Buenos Aires      ,60301,39776,50,22,28,16.548256616047624,12.631578947368421,39.602,68.78183556341604,13.338573159443287,Bajo
Buenos Aires      ,60301,39790,108,55,53,30.018047535591837,27.89473684210526,38.484,96.39678437769709,27.170599565440046,Medio
Buenos Aires      ,60301,39795,107,53,54,24.021305424319795,27.631578947368425,39.21,90.86288437168821,24.398729462545806,Bajo-medio
Buenos Aires      ,60301,39800,38,18,20,26.766654518267025,9.473684210526317,38.627,74.86733872879334,16.386735263359437,Bajo-medio
Buenos Aires      ,60301,39860,75,39,36,22.602560583532114,19.210526315789473,39.48,81.2930868993216,19.605322376114373,Bajo-medio
Buenos Aires      ,60301,39899,26,12,14,27.066260621511663,6.315789473684211,39.581,72.96305009519588,15.432897874715149,Bajo-medio
Buenos Aires      ,60301,39910,17,8,9,17.903053850151554,3.9473684210526314,39.991,61.84142227120418,9.862195905513378,Bajo
Buenos Aires      ,60301,40033,78,35,43,35.99153743236448,20.0,49.666,105.65753743236448,31.80920967669002,Medio
Buenos Aires      ,60301,40232,115,62,53,56.68384781764193,29.736842105263158,40.217,126.6376899229051,42.31793903203544,Alto-medio
Buenos Aires      ,60301,40243,141,67,74,56.45308709239929,36.578947368421055,40.231,133.26303446082034,45.63650178634616,Alto-medio
Buenos Aires      ,60301,40258,36,12,24,27.116794872607585,8.947368421052632,38.329,74.39316329366022,16.149225964177088,Bajo-medio
Buenos Aires      ,60301,40267,52,25,27,28.150536110673585,13.157894736842104,37.633,78.94143084751569,18.427403531318998,Bajo-medio
Buenos Aires      ,60301,40386,98,51,47,42.51475697017754,25.263157894736842,43.2,110.97791486491438,34.474128653430675,Medio
Buenos Aires      ,60301,40395,22,12,10,24.24004926079843,5.263157894736842,38.287,67.79020715553527,12.841877314921208,Bajo
Buenos Aires      ,60301,40517,36,20,16,29.27488573339839,8.947368421052632,73.317,111.53925415445102,34.75529737577062,Medio
Buenos Aires      ,60301,40535,58,22,36,34.85900303695069,14.736842105263156,43.256,92.85184514221385,25.394978200264806,Bajo-medio
Buenos Aires      ,60301,40537,31,17,14,15.629328327199962,7.631578947368421,38.879,62.13990727456838,10.011703785324928,Bajo
Buenos Aires      ,60301,40548,47,25,22,17.709293883928495,11.842105263157894,39.308,68.85939914708639,13.37742391179077,Bajo
Buenos Aires      ,60301,40558,129,58,71,40.5700461869675,33.421052631578945,38.798,112.78909881854645,35.3813309242457,Medio
Buenos Aires      ,60301,40651,175,81,94,74.10826523550337,45.526315789473685,47.044,166.67858102497706,62.373984283768046,Alto
Buenos Aires      ,60301,40664,24,10,14,23.103043977950357,5.7894736842105265,38.267,67.15951766216088,12.525971832531619,Bajo
Buenos Aires      ,60301,40681,147,78,69,37.65997892100295,38.15789473684211,38.637,114.45487365784507,36.215699357031205,Medio
Buenos Aires      ,60301,40723,120,62,58,36.85870696931413,31.05263157894737,40.018,107.9293385482615,32.94713005581488,Medio
Buenos Aires      ,60301,40748,136,66,70,50.10962641017126,35.26315789473684,41.202,126.57478430490809,42.28643029468193,Alto-medio
Buenos Aires      ,60301,40765,35,18,17,19.619279472431586,8.68421052631579,39.044,67.34748999874736,12.62012512395168,Bajo
Buenos Aires      ,60301,40773,49,23,26,32.697815741455805,12.368421052631579,41.005,86.07123679408738,21.99864549833692,Bajo-medio
Buenos Aires      ,60301,40778,79,43,36,43.73376959110528,20.263157894736842,53.087,117.08392748584212,37.53256371974318,Alto-medio
Buenos Aires      ,60301,40784,42,18,24,33.90544321426889,10.526315789473683,40.198,84.62975900374258,21.27662500886218,Bajo-medio
Buenos Aires      ,60301,40789,129,65,64,31.657064055317818,33.421052631578945,39.426,104.50411668689677,31.231473816456116,Medio
Buenos Aires      ,60301,40799,19,6,13,20.93970669549524,4.473684210526316,37.76,63.17339090602155,10.5293644544272,Bajo
Buenos Aires      ,60301,40863,163,79,84,31.969206837775623,42.368421052631575,38.279,112.61662789040719,35.2949421190977,Medio
Buenos Aires      ,60301,40892,138,71,67,60.018750033794234,35.78947368421053,42.696,138.50422371800477,48.2617562704939,Alto-medio
Buenos Aires      ,60301,40924,14,4,10,21.71901689526417,3.1578947368421053,38.717,63.59391163210627,10.739998695562011,Bajo
Buenos Aires      ,60301,40933,29,15,14,21.170099452756254,7.105263157894736,37.684,65.95936261065098,11.924827268570294,Bajo
Buenos Aires      ,60301,40938,162,92,70,26.80414529961836,42.10526315789473,39.792,108.7014084575131,33.333851445156036,Medio
Buenos Aires      ,60301,40969,35,19,16,16.864242330310837,8.68421052631579,38.895,64.44345285662664,11.16552462101553,Bajo
Buenos Aires      ,60301,41046,41,18,23,17.433613296678562,10.263157894736842,39.899,67.59577119141541,12.744486463029043,Bajo
Buenos Aires      ,60301,41050,34,20,14,17.456242734011873,8.421052631578947,39.729,65.60629536559082,11.747979739733335,Bajo
Buenos Aires      ,60301,41057,23,15,8,32.45166082316951,5.526315789473684,44.991,82.96897661264319,20.444757238880246,Bajo-medio
Buenos Aires      ,60301,41112,43,20,23,26.314674493342853,10.789473684210527,39.175,76.27914817755338,17.093895204405047,Bajo-medio
Buenos Aires      ,60301,41298,51,23,28,35.165035939313874,12.894736842105264,61.907,109.96677278141914,33.96765862181187,Medio
Buenos Aires      ,60301,41310,61,34,27,16.610534708602056,15.526315789473685,39.841,71.97785049807575,14.939422151323779,Bajo
Buenos Aires      ,60301,41354,41,18,23,22.43911648158181,10.263157894736842,39.309,72.01127437631865,14.95616380706813,Bajo-medio
Buenos Aires      ,60301,41443,220,101,119,44.20964974250966,57.36842105263158,38.831,140.40907079514125,49.21587337741071,Alto-medio
Buenos Aires      ,60301,41447,120,60,60,31.783905354411413,31.05263157894737,52.806,115.64253693335878,36.81058692676092,Medio
Buenos Aires      ,60301,41577,95,43,52,37.743925995305446,24.47368421052632,40.211,102.42861020583176,30.19187527709319,Medio
Buenos Aires      ,60301,41580,15,10,5,24.595756209955447,3.421052631578948,38.655,66.6718088415344,12.281683808291126,Bajo
Buenos Aires      ,60301,41591,101,44,57,22.309618708159665,26.052631578947366,39.036,87.39825028710703,22.663332070816438,Bajo-medio
Buenos Aires      ,60301,41665,145,77,68,47.91005116841268,37.631578947368425,85.95,171.4916301157811,64.78478803231353,Alto
Buenos Aires      ,60301,41722,53,29,24,27.23772694687698,13.421052631578947,42.241,82.89977957845593,20.410097199836475,Bajo-medio
Buenos Aires      ,60301,41765,81,34,47,25.55345081117074,20.789473684210527,39.759,86.10192449538127,22.01401663291664,Bajo-medio
Buenos Aires      ,60301,41778,72,37,35,37.61596716315086,18.421052631578945,43.049,99.08601979472981,28.517608229135327,Medio
Buenos Aires      ,60301,41845,136,69,67,24.01310348710795,35.26315789473684,38.528,97.80426138184478,27.875589432273916,Medio
Buenos Aires      ,60301,41863,41,18,23,11.187033888866226,10.263157894736842,39.292,60.74219178360307,9.311603353883797,Bajo
Buenos Aires      ,60301,41871,54,31,23,32.4029722459184,13.684210526315791,42.957,89.0441827722342,23.487761685003996,Bajo-medio
Buenos Aires      ,60301,41880,9,6,3,30.737685387766035,1.8421052631578945,39.093,71.67279065092393,14.786621004032451,Bajo
Buenos Aires      ,60301,41916,90,46,44,33.71867977549429,23.157894736842106,37.718,94.5945745123364,26.26789231747566,Medio
Buenos Aires      ,60301,41928,71,34,37,22.553354592681497,18.157894736842106,39.644,80.3552493295236,19.135569775187115,Bajo-medio
Buenos Aires      ,60301,41950,28,16,12,21.693558842581194,6.842105263157896,38.925,67.46066410573908,12.67681279869309,Bajo
Buenos Aires      ,60301,42030,35,19,16,9.132254796386219,8.68421052631579,39.265,57.08146532270201,7.47798543147329,Bajo
Buenos Aires      ,60301,42108,45,21,24,18.876204586664475,11.31578947368421,39.428,69.61999406034869,13.758397600906216,Bajo
Buenos Aires      ,60301,42191,106,60,46,57.4390948124433,27.368421052631582,55.859,140.6665158650749,49.34482480257411,Alto-medio
Buenos Aires      ,60301,42199,80,40,40,29.277886929389403,20.526315789473685,40.125,89.92920271886308,23.931058515062713,Bajo-medio
Buenos Aires      ,60301,42205,120,59,61,21.548135424792232,31.05263157894737,39.83,92.4307670037396,25.184064757349,Bajo-medio
Buenos Aires      ,60301,42206,122,61,61,30.901701091920113,31.57894736842105,39.699,102.17964846034116,30.067173056536177,Medio
Buenos Aires      ,60301,42378,94,43,51,43.37053619002856,24.210526315789473,50.81,118.39106250581804,38.18729338207592,Alto-medio
Buenos Aires      ,60301,42410,89,44,45,22.75489237521301,22.894736842105264,38.914,84.56362921731828,21.24350132073965,Bajo-medio
Buenos Aires      ,60301,42454,69,33,36,32.012638696134395,17.63157894736842,43.38,93.02421764350282,25.481317704477963,Bajo-medio
Buenos Aires      ,60301,42455,102,48,54,27.936113548332315,26.31578947368421,39.781,94.03290302201651,25.986557199389825,Medio
Buenos Aires      ,60301,42524,71,37,34,14.053917678570823,18.157894736842106,39.822,72.03381241541294,14.96745286481682,Bajo-medio
Buenos Aires      ,60301,42534,54,28,26,28.22855797590006,13.684210526315791,55.721,97.63376850221584,27.790191410031618,Medio
Buenos Aires      ,60301,42616,50,20,30,18.508655528526855,12.631578947368421,38.986,70.12623447589527,14.01196789874439,Bajo
Buenos Aires      ,60301,42623,149,75,74,34.50710607700584,38.68421052631579,40.439,113.63031660332163,35.802687729592634,Medio
Buenos Aires      ,60301,42674,65,31,34,29.29469454595162,16.57894736842105,42.215,88.08864191437267,23.009141700341406,Bajo-medio
Buenos Aires      ,60301,42711,131,61,70,28.190345054504828,33.94736842105263,39.883,102.02071347555747,29.987564257651577,Medio
Buenos Aires      ,60301,42739,83,35,48,33.79809605219395,21.31578947368421,42.726,97.83988552587816,27.893433177133797,Medio
Buenos Aires      ,60301,42750,94,46,48,40.9760556201964,24.210526315789473,47.635,112.82158193598588,35.397601363173294,Medio
Buenos Aires      ,60301,42804,27,15,12,21.19860232494468,6.578947368421052,38.905,66.68254969336573,12.287063783722296,Bajo
Buenos Aires      ,60301,42811,230,104,126,75.98015172289907,60.0,51.357,187.33715172289905,72.72163682969753,Alto
Buenos Aires      ,60301,42858,109,52,57,32.83674971908421,28.157894736842103,39.946,100.9406444559263,29.446569476154412,Medio
Buenos Aires      ,60301,42866,42,18,24,37.592953344345645,10.526315789473683,42.619,90.73826913381933,24.33631105024368,Bajo-medio
Buenos Aires      ,60301,42870,176,87,89,39.514030194542045,45.78947368421053,39.621,124.92450387875257,41.45982284429701,Alto-medio
Buenos Aires      ,60301,42874,66,38,28,52.436070544184645,16.842105263157894,63.119,132.39717580734253,45.202802638855,Alto-medio
Buenos Aires      ,60301,42879,132,72,60,52.7888923939679,34.21052631578947,43.397,130.39641870975737,44.20064524968499,Alto-medio
Buenos Aires      ,60301,42897,153,69,84,30.794607590495417,39.73684210526316,39.336,109.86744969575857,33.917908772452314,Medio
Buenos Aires      ,60301,42992,32,16,16,32.98936619953261,7.894736842105263,81.331,122.21510304163787,40.1027135418159,Alto-medio
Buenos Aires      ,60301,43004,137,75,62,32.567801527883056,35.526315789473685,40.067,108.16111731735674,33.063225511071245,Medio
Buenos Aires      ,60301,43026,69,39,30,30.884346363439157,17.63157894736842,39.621,88.13692531080758,23.0333263265361,Bajo-medio
Buenos Aires      ,60301,43059,4,2,2,28.657464605361515,0.5263157894736842,56.91,86.09378039483519,22.00993734185715,Bajo-medio
Buenos Aires      ,60301,43085,146,71,75,19.15117996979408,37.89473684210527,38.391,95.43691681189935,26.689812380004163,Medio
Buenos Aires      ,60301,43201,145,61,84,53.64263978606607,37.631578947368425,49.434,140.70821873343448,49.365713314091366,Alto-medio
Buenos Aires      ,60301,43206,16,8,8,20.64303264671471,3.684210526315789,38.71,63.0372431730305,10.461169541211392,Bajo
Buenos Aires      ,60301,43209,110,58,52,57.31260986267957,28.421052631578945,49.792,135.5256624942585,46.76982746860418,Alto-medio
Buenos Aires      ,60301,43223,47,25,22,17.22474238180304,11.842105263157894,39.713,68.77984764496094,13.337577432789985,Bajo
Buenos Aires      ,60301,43249,187,71,116,46.22147958076894,48.68421052631579,40.26,135.1656901070847,46.58952122946161,Alto-medio
Buenos Aires      ,60301,43255,56,24,32,22.313084639776186,14.210526315789473,39.71,76.23361095556567,17.071086107012697,Bajo-medio
Buenos Aires      ,60301,43265,29,11,18,18.01409479363881,7.105263157894736,39.154,64.27335795153355,11.080325939873806,Bajo
Buenos Aires      ,60301,43270,23,14,9,26.146928348956845,5.526315789473684,39.37,71.04324413843052,14.471288028288942,Bajo
Buenos Aires      ,60301,43363,78,39,39,38.34171085688614,20.0,40.03,98.37171085688614,28.159818679832107,Medio
Buenos Aires      ,60301,43376,140,67,73,38.325573980483156,36.31578947368421,40.301,114.94236345416736,36.45987767438867,Medio
Buenos Aires      ,60301,43412,98,48,50,33.89803509251504,25.263157894736842,40.07,99.23119298725189,28.590323896504945,Medio
Buenos Aires      ,60301,43487,313,156,157,54.00352179059884,81.84210526315789,39.286,175.13162705375674,66.60802276298189,Alto
Buenos Aires      ,60301,43600,43,18,25,12.284010237923884,10.789473684210527,38.91,61.98348392213441,9.933353035666386,Bajo
Buenos Aires      ,60301,43628,165,77,88,27.075838963079217,42.89473684210526,38.691,108.66157580518448,33.31389970443272,Medio
Buenos Aires      ,60301,43654,44,24,20,31.68785452882622,11.052631578947368,62.329,105.0694861077736,31.514661187589944,Medio
Buenos Aires      ,60301,43677,22,16,6,22.459240506362583,5.263157894736842,39.628,67.35039840109943,12.621581910940623,Bajo
Buenos Aires      ,60301,43750,64,28,36,39.39346904568416,16.315789473684212,43.125,98.83425851936838,28.39150375462673,Medio
Buenos Aires      ,60301,43785,45,20,25,18.02187885037219,11.31578947368421,39.453,68.79066832405641,13.342997392826343,Bajo
Buenos Aires      ,60301,43819,176,89,87,33.890061905210544,45.78947368421053,39.583,119.26253558942108,38.6238047363276,Alto-medio
Buenos Aires      ,60301,43870,41,20,21,34.5067467562455,10.263157894736842,44.256,89.02590465098234,23.478606373599725,Bajo-medio
Buenos Aires      ,60301,43965,50,27,23,31.27690607686995,12.631578947368421,55.57,99.47848502423838,28.71418977829941,Medio
Buenos Aires      ,60301,44022,86,41,45,24.882485309132495,22.105263157894736,38.457,85.44474846702724,21.68484433429264,Bajo-medio
Buenos Aires      ,60301,44050,171,76,95,40.62781150320775,44.473684210526315,40.256,125.35749571373407,41.676703727738946,Alto-medio
Buenos Aires      ,60301,44064,16,7,9,29.215646164624804,3.684210526315789,40.695,73.59485669094059,15.749362901487324,Bajo-medio
Buenos Aires      ,60301,44106,40,21,19,16.955396418761776,10.0,39.296,66.25139641876177,12.071103815103061,Bajo
Buenos Aires      ,60301,44131,4,2,2,27.470662444201704,0.5263157894736842,38.358,66.35497823367538,12.12298681545558,Bajo
Buenos Aires      ,60301,44220,31,15,16,17.91087692868378,7.631578947368421,39.641,65.1834558760522,11.536184055296946,Bajo
Buenos Aires      ,60301,44224,67,30,37,23.30758667792681,17.105263157894736,39.396,79.80884983582155,18.861884233492336,Bajo-medio
Buenos Aires      ,60301,44235,76,39,37,18.44388461681968,19.473684210526315,40.564,78.481568827346,18.197063665441256,Bajo-medio
Buenos Aires      ,60301,44267,43,22,21,14.502428503723769,10.789473684210527,40.021,65.3129021879343,11.601022299834492,Bajo
Buenos Aires      ,60301,44299,22,10,12,21.18999091062278,5.263157894736842,41.819,68.27214880535962,13.0832766262635,Bajo
Buenos Aires      ,60301,44318,202,80,122,63.42436916381309,52.63157894736842,66.308,182.36394811118151,70.23061342993294,Alto
Buenos Aires      ,60301,44348,102,47,55,43.990505670397,26.31578947368421,45.789,116.0952951440812,37.03736857203436,Alto-medio
Buenos Aires      ,60301,44351,68,29,39,35.61701302925573,17.36842105263158,54.625,107.6104340818873,32.7873942898881,Medio
Buenos Aires      ,60301,44388,79,34,45,21.282611369634996,20.263157894736842,39.219,80.76476926437184,19.34069384008031,Bajo-medio
Buenos Aires      ,60301,44391,105,57,48,41.332280893705345,27.105263157894736,39.265,107.70254405160009,32.83353116821047,Medio
Buenos Aires      ,60301,44401,133,69,64,29.924880941763305,34.473684210526315,39.593,103.99156515228962,30.974742347975038,Medio
Buenos Aires      ,60301,44407,13,4,9,22.487788696631767,2.8947368421052633,39.105,64.48752553873703,11.1876001463708,Bajo
Buenos Aires      ,60301,44449,52,23,29,17.493499271603703,13.157894736842104,39.815,70.4663940084458,14.182350095290674,Bajo
Buenos Aires      ,60301,44486,85,44,41,30.34210834000261,21.842105263157897,39.595,91.77921360316051,24.857708771598766,Bajo-medio
Buenos Aires      ,60301,44496,80,45,35,40.50769786654859,20.526315789473685,48.692,109.72601365602227,33.847065004116956,Medio
Buenos Aires      ,60301,44512,201,104,97,38.10306403083792,52.368421052631575,42.51,132.9814850834695,45.49547677672909,Alto-medio
Buenos Aires      ,60301,44517,165,83,82,65.8759587023249,42.89473684210526,46.917,155.68769554443014,56.8687697271656,Alto
Buenos Aires      ,60301,44535,38,22,16,22.4549013013688,9.473684210526317,39.175,71.10358551189512,14.50151236354843,Bajo
Buenos Aires      ,60301,44556,194,97,97,68.69391980918715,50.526315789473685,40.449,159.66923559866083,58.86307967635413,Alto
Buenos Aires      ,60301,44619,30,17,13,21.607804535541327,7.368421052631578,37.686,66.6622255881729,12.276883661296718,Bajo
Buenos Aires      ,60301,44659,105,49,56,30.789218790823075,27.105263157894736,39.729,97.62348194871781,27.78503898767631,Medio
Buenos Aires      ,60301,44663,58,24,34,14.789878241936712,14.736842105263156,39.746,69.27272034719988,13.584451988959302,Bajo
Buenos Aires      ,60301,44676,23,12,11,31.239116428328455,5.526315789473684,37.641,74.40643221780213,16.15587222343125,Bajo-medio
Buenos Aires      ,60301,44717,28,16,12,30.7640350063573,6.842105263157896,42.634,80.2401402695152,19.077912903602314,Bajo-medio
Buenos Aires      ,60301,44727,46,21,25,34.04082384401658,11.578947368421053,71.077,116.69677121243762,37.33864136873709,Alto-medio
Buenos Aires      ,60301,44736,94,59,35,56.45237710268232,24.210526315789473,48.016,128.67890341847178,43.34036058931728,Alto-medio
Buenos Aires      ,60301,44775,99,51,48,41.41435175312913,25.526315789473685,47.189,114.12966754260282,36.052807163977555,Medio
Buenos Aires      ,60301,44779,65,31,34,10.801275988408134,16.57894736842105,39.343,66.72322335682918,12.307436777742264,Bajo
Buenos Aires      ,60301,44813,181,91,90,32.37061343396237,47.10526315789474,38.18,117.65587659185712,37.819046783336425,Alto-medio
Buenos Aires      ,60301,44841,136,64,72,28.81877024465344,35.26315789473684,38.639,102.72092813939028,30.338294138961107,Medio
Buenos Aires      ,60301,44885,63,34,29,18.97268870538759,16.05263157894737,39.446,74.47132028433495,16.18837394761521,Bajo-medio
Buenos Aires      ,60301,45096,40,19,21,21.969607950987672,10.0,39.876,71.84560795098767,14.873183303096305,Bajo
Buenos Aires      ,60301,45119,191,80,111,37.687073269551384,49.73684210526316,39.938,127.36191537481454,42.68069565498185,Alto-medio
Buenos Aires      ,60301,45136,121,51,70,31.197490853897737,31.31578947368421,39.308,101.82128032758195,29.88767037091723,Medio
Buenos Aires      ,60301,45226,195,104,91,36.934242886336214,50.78947368421053,38.665,126.38871657054673,42.19323099772508,Alto-medio
Buenos Aires      ,60301,45244,92,43,49,18.447739173827546,23.684210526315788,39.542,81.67394970014334,19.79609239540566,Bajo-medio
Buenos Aires      ,60301,45250,98,54,44,40.03586769788669,25.263157894736842,55.797,121.09602559262353,39.542179863871276,Alto-medio
Buenos Aires      ,60301,45251,79,38,41,34.73022198618922,20.263157894736842,43.816,98.80937988092606,28.379042316215465,Medio
Buenos Aires      ,60301,45254,132,66,66,41.10163725138385,34.21052631578947,61.298,136.61016356717332,47.31304221720917,Alto-medio
Buenos Aires      ,60301,45259,135,64,71,57.65614488888744,35.0,46.739,139.39514488888744,48.70800895936138,Alto-medio
Buenos Aires      ,60301,45267,226,104,122,48.163463075184524,58.94736842105262,39.54,146.65083149623715,52.34230317520279,Alto
Buenos Aires      ,60301,45287,29,10,19,21.27803389562018,7.105263157894736,43.393,71.77629705351492,14.8384662311758,Bajo
Buenos Aires      ,60301,45310,67,32,35,23.068701674463195,17.105263157894736,38.835,79.00896483235793,18.46123056710032,Bajo-medio
Buenos Aires      ,60301,45324,44,24,20,25.250059058703002,11.052631578947368,39.532,75.83469063765037,16.87127127453184,Bajo-medio
Buenos Aires      ,60301,45340,73,41,32,26.251913039519533,18.684210526315788,40.114,85.05012356583532,21.487181029158155,Bajo-medio
Buenos Aires      ,60301,45374,92,55,37,58.64454694524811,23.684210526315788,49.216,131.5447574715639,44.77583559977984,Alto-medio
Buenos Aires      ,60301,45395,21,13,8,25.549186905116084,5.0,42.634,73.18318690511609,15.54316199970869,Bajo-medio
Buenos Aires      ,60301,45398,31,16,15,30.126450832019465,7.631578947368421,55.004,92.76202977938789,25.34999066548327,Bajo-medio
